상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
[$160상당특전+노쇼핑+노팁+호핑+라운지] 코타키나발루 밍가든(슈페리어) 3박5일,https://www.modetour.com/package/91870722,"3박5일,에어아시아직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4.8,8,0,85,16,32,8,162,0,2,6,10,11,1,18,0,0,7,5
[$160상당특전+노쇼핑+노팁+호핑+라운지] 코타키나발루 샹그릴라 라사리아(가든윙 가든뷰) 4박6일,https://www.modetour.com/package/91397894,"4박6일,진에어직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4.8,8,0,85,16,32,8,162,0,2,6,10,11,1,18,0,0,7,5
[$160상당특전+노쇼핑+노팁+호핑+라운지] 코타키나발루 샹그릴라 탄중아루(키나윙 씨뷰) 3박5일,https://www.modetour.com/package/86882815,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4.8,48,0,510,96,192,48,972,0,12,36,60,66,6,108,0,0,42,30
[$160상당특전+노쇼핑+노팁+호핑+라운지] 코타키나발루 샹그릴라 탄중아루(키나윙 씨뷰) 4박6일,https://www.modetour.com/package/91397831,"4박6일,진에어직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4.8,8,0,85,16,32,8,162,0,2,6,10,11,1,18,0,0,7,5
[$160상당특전+호핑+노쇼핑+노팁+픽업] 코타키나발루 샹그릴라 라사리아(가든윙 가든뷰) 3박5일,https://www.modetour.com/package/88567830,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4.8,24,0,255,48,96,24,486,0,6,18,30,33,3,54,0,0,21,15
[$190상당특전+ 노쇼핑+노팁+호핑투어+스톤마사지] 세부 모벤픽 디럭스오션뷰(무료UP) 3박5일,https://www.modetour.com/package/86844224,"3박5일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4,1,0,3,1,1,0,8,0,1,0,3,2,0,3,0,0,2,1
[$190상당특전+ 노쇼핑+노팁+호핑투어+스톤마사지] 세부 제이파크 디럭스 가든 3박5일,https://www.modetour.com/package/86843894,"3박5일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4,1,0,3,1,1,0,8,0,1,0,3,2,0,3,0,0,2,1
[$190상당특전+노쇼핑+노팁+호핑투어+스톤마사지] 세부 두짓타니 디럭스가든 3박5일,https://www.modetour.com/package/86751388,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4,2,0,6,2,2,0,16,0,2,0,6,4,0,6,0,0,4,2
[$190상당특전+노쇼핑+노팁+호핑투어+스톤마사지] 세부 샹그릴라 리조트(메인윙) 디럭스룸 3박5일,https://www.modetour.com/package/86844162,"3박5일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4,2,0,6,2,2,0,16,0,2,0,6,4,0,6,0,0,4,2
[$190상당특전+노쇼핑+노팁+호핑투어+스톤마사지] 세부 쉐라톤 리조트 오션룸(무료UP) 3박5일,https://www.modetour.com/package/86843984,"3박5일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4,1,0,3,1,1,0,8,0,1,0,3,2,0,3,0,0,2,1
[$190상당특전/아동반값][노쇼핑/노팁/호핑+반딧불+시내관광+라운지] 코타키나발루 샹그릴라 라사리아(가든윙가든뷰) 3박5일,https://www.modetour.com/package/89732683,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
[$200상당특전/디럭스가든+하프보드+호핑+아동반값] 세부 제이파크 3박5일,https://www.modetour.com/package/93825123,"3박5일,대한항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.6,8,2,32,12,14,4,82,0,0,4,26,4,0,32,0,0,0,2
[$210상당특전/고래상어투어+노쇼핑+노팁+왕복픽업] 세부 두짓타니 디럭스가든 3박5일,https://www.modetour.com/package/90804961,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.8,0,0,4,0,0,0,11,0,0,0,1,2,0,3,0,0,0,0
[$210상당특전/고래상어투어+노쇼핑+노팁+왕복픽업] 세부 샹그릴라 디럭스(메인윙) 3박5일,https://www.modetour.com/package/90804973,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.8,0,0,4,0,0,0,14,0,0,0,2,2,0,4,0,0,0,0
[$210상당특전/고래상어투어+노쇼핑+노팁+왕복픽업] 세부 솔레아 프리미어씨티뷰 4박6일 [리조트디너1회/워터파크],https://www.modetour.com/package/90804957,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.8,0,0,4,0,0,0,14,0,0,0,2,2,0,4,0,0,0,0
[$210상당특전/고래상어투어+노쇼핑+노팁+왕복픽업] 세부 쉐라톤 코트야드 3박5일,https://www.modetour.com/package/90804968,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.8,0,0,2,0,0,0,7,0,0,0,1,1,0,2,0,0,0,0
[$210상당특전/고래상어투어+노쇼핑+노팁+왕복픽업] 세부 제이파크 디럭스가든(2박) 3박5일,https://www.modetour.com/package/86740070,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",세부,4.8,0,0,2,0,0,0,7,0,0,0,1,1,0,2,0,0,0,0
